season_id,edition_id,game_id,round,action_number,period,type,player_id,team_id,opponent_id,x,y,details
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,3,1,2FGM,Justin Robinson,Gravelines-Dunkerque,Boulogne-Levallois,-3.886,3.837,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,4,1,2FGM,Victor Wembanyama,Boulogne-Levallois,Gravelines-Dunkerque,1.349,0.833,alley oop
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,6,1,2FGA,Dominik Olejniczak,Gravelines-Dunkerque,Boulogne-Levallois,-4.87,2.393,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,10,1,2FGA,Justin Robinson,Gravelines-Dunkerque,Boulogne-Levallois,2.881,3.196,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,12,1,2FGA,Dominik Olejniczak,Gravelines-Dunkerque,Boulogne-Levallois,0,-0.175,putback
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,14,1,2FGM,Victor Wembanyama,Boulogne-Levallois,Gravelines-Dunkerque,0.526,1.659,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,16,1,3FGA,Vince Edwards,Gravelines-Dunkerque,Boulogne-Levallois,-7.02,-0.382,
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,18,1,2FGM,Dominik Olejniczak,Gravelines-Dunkerque,Boulogne-Levallois,-0.641,-0.36,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,21,1,3FGM,Dennis Seeley,Gravelines-Dunkerque,Boulogne-Levallois,-5.122,5.534,
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,30,1,2FGM,Dennis Seeley,Gravelines-Dunkerque,Boulogne-Levallois,-4.436,2.093,floating jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,31,1,2FGA,Bandja Sy,Boulogne-Levallois,Gravelines-Dunkerque,4.436,3.86,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,33,1,2FGA,Dennis Seeley,Gravelines-Dunkerque,Boulogne-Levallois,2.721,1.611,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,36,1,2FGA,Vince Edwards,Gravelines-Dunkerque,Boulogne-Levallois,3.75,3.149,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,38,1,2FGM,Dominik Olejniczak,Gravelines-Dunkerque,Boulogne-Levallois,0,-0.175,putback
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,39,1,2FGA,Aaron Henry,Boulogne-Levallois,Gravelines-Dunkerque,0.069,-0.13,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,41,1,2FGA,Bandja Sy,Boulogne-Levallois,Gravelines-Dunkerque,0,-0.175,putback
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,54,1,2FGM,Justin Robinson,Gravelines-Dunkerque,Boulogne-Levallois,-1.303,1.726,floating jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,62,1,2FGM,Ibrahima Fall Faye,Boulogne-Levallois,Gravelines-Dunkerque,2.857,0.421,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,63,1,3FGM,Szilard Benke,Gravelines-Dunkerque,Boulogne-Levallois,2.744,6.819,
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,67,1,2FGA,Lahaou Konate,Boulogne-Levallois,Gravelines-Dunkerque,0.709,-0.223,layup
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,70,1,2FGM,Ibrahima Fall Faye,Boulogne-Levallois,Gravelines-Dunkerque,1.395,2.689,dunk
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,71,1,3FGM,Vafessa Fofana,Gravelines-Dunkerque,Boulogne-Levallois,4.619,5.694,
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,80,1,2FGA,Szilard Benke,Gravelines-Dunkerque,Boulogne-Levallois,-2.011,0.878,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,89,1,2FGA,Fabien Damase,Gravelines-Dunkerque,Boulogne-Levallois,-0.846,3.471,floating jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,93,1,2FGA,Szilard Benke,Gravelines-Dunkerque,Boulogne-Levallois,-2.264,2.759,floating jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,97,1,2FGM,Hugo Besson,Boulogne-Levallois,Gravelines-Dunkerque,1.303,2.645,layup
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,104,1,2FGA,Hugo Besson,Boulogne-Levallois,Gravelines-Dunkerque,2.493,1.315,layup
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,106,1,2FGA,Aaron Henry,Boulogne-Levallois,Gravelines-Dunkerque,1.007,1.337,floating jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,108,1,3FGA,Fabien Damase,Gravelines-Dunkerque,Boulogne-Levallois,5.053,5.489,
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,110,1,3FGA,Hugo Besson,Boulogne-Levallois,Gravelines-Dunkerque,5.785,4.112,
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,119,2,2FGM,Vafessa Fofana,Gravelines-Dunkerque,Boulogne-Levallois,-1.326,1.866,dunk
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,124,2,2FGM,Szilard Benke,Gravelines-Dunkerque,Boulogne-Levallois,-2.08,0.878,layup
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,126,2,2FGM,Victor Wembanyama,Boulogne-Levallois,Gravelines-Dunkerque,0.161,0.855,layup
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,128,2,2FGM,Vafessa Fofana,Gravelines-Dunkerque,Boulogne-Levallois,-2.035,0.374,layup
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,130,2,3FGM,Aaron Henry,Boulogne-Levallois,Gravelines-Dunkerque,-6.06,3.745,
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,134,2,2FGM,Hugo Besson,Boulogne-Levallois,Gravelines-Dunkerque,0.777,0.626,layup
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,135,2,3FGA,Dennis Seeley,Gravelines-Dunkerque,Boulogne-Levallois,-2.127,7.461,
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,137,2,2FGM,Ibrahima Fall Faye,Boulogne-Levallois,Gravelines-Dunkerque,0.572,0.144,layup
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,143,2,2FGM,Ibrahima Fall Faye,Boulogne-Levallois,Gravelines-Dunkerque,2.127,0.741,jump shot
22-23,22-23 PROA,2022-09-23:Gravelines-Dunkerque-Boulogne-Levallois,1,144,2,3FGA,Romuald Morency,Gravelines-Dunkerque,Boulogne-Levallois,-6.585,2.507,
